"","year","total_capacity","new_construction_capacity","occupation","type","new_jobs","total_jobs"
"1",2025,0,0,"construction","direct",0,0
"2",2026,0,0.5,"construction","direct",8.2,8.2
"3",2027,0,0.127255899493682,"construction","direct",2.08699675169638,10.2869967516964
"4",2028,0,0.159644027405574,"construction","direct",2.61816204945141,12.9051588011478
"5",2029,0,0.200275316018154,"construction","direct",3.28451518269773,16.1896739838455
"6",2030,0.5,0.251247746990698,"construction","direct",4.12046305064744,20.310137034493
"7",2031,0.627255899493682,0.315193263068822,"construction","direct",5.16916951432868,17.2793065488216
"8",2032,0.786899926899256,0.395413667481165,"construction","direct",6.48478414669111,21.6770939438164
"9",2033,0.98717524291741,0.496051111335988,"construction","direct",8.13523822591019,27.1941701202752
"10",2034,1.23842298990811,0.622301972071791,"construction","direct",10.2057523419774,34.1154072795548
"11",2035,1.55361625297693,0.780685166497166,"construction","direct",12.8032367305535,42.7981809594609
"12",2036,1.94902992045809,0.97937875266511,"construction","direct",16.0618115437078,53.69082298884
"13",2037,2.44508103179408,1.22864220089591,"construction","direct",20.1497320946929,67.3557709368418
"14",2038,3.06738300386587,1.54134613775772,"construction","direct",25.2780766592266,84.4986093701582
"15",2039,3.84806817036304,1.93363691614066,"construction","direct",31.7116454247068,106.004502452888
"16",2040,4.82744692302815,2.425770326256,"construction","direct",39.7826333505983,132.983899072932
"17",2041,6.05608912392406,3.04315749592157,"construction","direct",49.9077829331138,166.829870462338
"18",2042,7.59743526168178,0,"construction","direct",0,146.680138367646
"19",2043,9.53107217782244,0,"construction","direct",0,121.402061708419
"20",2044,11.9568425040784,0,"construction","direct",0,89.6904162837122
"21",2045,15,0,"construction","direct",0,49.9077829331138
"22",2025,0,0,"operations and maintenance","direct",NA,0
"23",2026,0,0.5,"operations and maintenance","direct",NA,0
"24",2027,0,0.127255899493682,"operations and maintenance","direct",NA,0
"25",2028,0,0.159644027405574,"operations and maintenance","direct",NA,0
"26",2029,0,0.200275316018154,"operations and maintenance","direct",NA,0
"27",2030,0.5,0.251247746990698,"operations and maintenance","direct",NA,63.5
"28",2031,0.627255899493682,0.315193263068822,"operations and maintenance","direct",NA,79.6614992356976
"29",2032,0.786899926899256,0.395413667481165,"operations and maintenance","direct",NA,99.9362907162055
"30",2033,0.98717524291741,0.496051111335988,"operations and maintenance","direct",NA,125.371255850511
"31",2034,1.23842298990811,0.622301972071791,"operations and maintenance","direct",NA,157.27971971833
"32",2035,1.55361625297693,0.780685166497166,"operations and maintenance","direct",NA,197.30926412807
"33",2036,1.94902992045809,0.97937875266511,"operations and maintenance","direct",NA,247.526799898178
"34",2037,2.44508103179408,1.22864220089591,"operations and maintenance","direct",NA,310.525291037848
"35",2038,3.06738300386587,1.54134613775772,"operations and maintenance","direct",NA,389.557641490966
"36",2039,3.84806817036304,1.93363691614066,"operations and maintenance","direct",NA,488.704657636106
"37",2040,4.82744692302815,2.425770326256,"operations and maintenance","direct",NA,613.085759224575
"38",2041,6.05608912392406,3.04315749592157,"operations and maintenance","direct",NA,769.123318738355
"39",2042,7.59743526168178,0,"operations and maintenance","direct",NA,964.874278233586
"40",2043,9.53107217782244,0,"operations and maintenance","direct",NA,1210.44616658345
"41",2044,11.9568425040784,0,"operations and maintenance","direct",NA,1518.51899801796
"42",2045,15,0,"operations and maintenance","direct",NA,1905
"43",2025,0,0,"operations and maintenance","direct",NA,0
"44",2026,0,0.5,"operations and maintenance","direct",NA,0
"45",2027,0,0.127255899493682,"operations and maintenance","direct",NA,0
"46",2028,0,0.159644027405574,"operations and maintenance","direct",NA,0
"47",2029,0,0.200275316018154,"operations and maintenance","direct",NA,0
"48",2030,0.5,0.251247746990698,"operations and maintenance","direct",NA,63.5
"49",2031,0.627255899493682,0.315193263068822,"operations and maintenance","direct",NA,79.6614992356976
"50",2032,0.786899926899256,0.395413667481165,"operations and maintenance","direct",NA,99.9362907162055
"51",2033,0.98717524291741,0.496051111335988,"operations and maintenance","direct",NA,125.371255850511
"52",2034,1.23842298990811,0.622301972071791,"operations and maintenance","direct",NA,157.27971971833
"53",2035,1.55361625297693,0.780685166497166,"operations and maintenance","direct",NA,197.30926412807
"54",2036,1.94902992045809,0.97937875266511,"operations and maintenance","direct",NA,247.526799898178
"55",2037,2.44508103179408,1.22864220089591,"operations and maintenance","direct",NA,310.525291037848
"56",2038,3.06738300386587,1.54134613775772,"operations and maintenance","direct",NA,389.557641490966
"57",2039,3.84806817036304,1.93363691614066,"operations and maintenance","direct",NA,488.704657636106
"58",2040,4.82744692302815,2.425770326256,"operations and maintenance","direct",NA,613.085759224575
"59",2041,6.05608912392406,3.04315749592157,"operations and maintenance","direct",NA,769.123318738355
"60",2042,7.59743526168178,0,"operations and maintenance","direct",NA,964.874278233586
"61",2043,9.53107217782244,0,"operations and maintenance","direct",NA,1210.44616658345
"62",2044,11.9568425040784,0,"operations and maintenance","direct",NA,1518.51899801796
"63",2045,15,0,"operations and maintenance","direct",NA,1905
