"","county","year","technology","new_capacity","total_capacity","occupation","type","n_jobs"
"1","V",2025,"Utility PV",0,400,"O&M","direct",4000
"2","V",2026,"Utility PV",16.5518975969642,416.55,"O&M","direct",4165.5
"3","V",2027,"Utility PV",17.2368108821153,433.79,"O&M","direct",4337.9
"4","V",2028,"Utility PV",17.9500657036627,451.74,"O&M","direct",4517.4
"5","V",2029,"Utility PV",18.6928348271273,470.43,"O&M","direct",4704.3
"6","V",2030,"Utility PV",19.4663395467661,489.9,"O&M","direct",4899
"7","V",2031,"Utility PV",20.2718516936808,510.17,"O&M","direct",5101.7
"8","V",2032,"Utility PV",21.1106957270173,531.28,"O&M","direct",5312.8
"9","V",2033,"Utility PV",21.984250911703,553.26,"O&M","direct",5532.6
"10","V",2034,"Utility PV",22.8939535862942,576.16,"O&M","direct",5761.6
"11","V",2035,"Utility PV",23.8412995246692,600,"O&M","direct",6000
"12","V",2036,"Utility PV",24.8278463954464,624.83,"O&M","direct",6248.3
"13","V",2037,"Utility PV",25.8552163231728,650.68,"O&M","direct",6506.8
"14","V",2038,"Utility PV",26.9250985554941,677.61,"O&M","direct",6776.1
"15","V",2039,"Utility PV",28.039252240691,705.65,"O&M","direct",7056.5
"16","V",2040,"Utility PV",29.1995093201493,734.85,"O&M","direct",7348.5
"17","V",2041,"Utility PV",30.4077775405211,765.25,"O&M","direct",7652.5
"18","V",2042,"Utility PV",31.666043590526,796.92,"O&M","direct",7969.2
"19","V",2043,"Utility PV",32.9763763675545,829.9,"O&M","direct",8299
"20","V",2044,"Utility PV",34.3409303794413,864.24,"O&M","direct",8642.4
"21","V",2045,"Utility PV",35.7619492870039,900,"O&M","direct",9000
"22","V",2025,"Utility PV",0,400,"Construction","direct",0
"23","V",2026,"Utility PV",16.5518975969642,416.55,"Construction","direct",165.518975969642
"24","V",2027,"Utility PV",17.2368108821153,433.79,"Construction","direct",172.368108821153
"25","V",2028,"Utility PV",17.9500657036627,451.74,"Construction","direct",179.500657036627
"26","V",2029,"Utility PV",18.6928348271273,470.43,"Construction","direct",186.928348271273
"27","V",2030,"Utility PV",19.4663395467661,489.9,"Construction","direct",194.663395467661
"28","V",2031,"Utility PV",20.2718516936808,510.17,"Construction","direct",202.718516936808
"29","V",2032,"Utility PV",21.1106957270173,531.28,"Construction","direct",211.106957270173
"30","V",2033,"Utility PV",21.984250911703,553.26,"Construction","direct",219.84250911703
"31","V",2034,"Utility PV",22.8939535862942,576.16,"Construction","direct",228.939535862942
"32","V",2035,"Utility PV",23.8412995246692,600,"Construction","direct",238.412995246692
"33","V",2036,"Utility PV",24.8278463954464,624.83,"Construction","direct",248.278463954464
"34","V",2037,"Utility PV",25.8552163231728,650.68,"Construction","direct",258.552163231728
"35","V",2038,"Utility PV",26.9250985554941,677.61,"Construction","direct",269.250985554941
"36","V",2039,"Utility PV",28.039252240691,705.65,"Construction","direct",280.39252240691
"37","V",2040,"Utility PV",29.1995093201493,734.85,"Construction","direct",291.995093201493
"38","V",2041,"Utility PV",30.4077775405211,765.25,"Construction","direct",304.077775405211
"39","V",2042,"Utility PV",31.666043590526,796.92,"Construction","direct",316.66043590526
"40","V",2043,"Utility PV",32.9763763675545,829.9,"Construction","direct",329.763763675545
"41","V",2044,"Utility PV",34.3409303794413,864.24,"Construction","direct",343.409303794413
"42","V",2045,"Utility PV",35.7619492870039,900,"Construction","direct",357.619492870039
